Chinese,Cyrillic
我,во3
住,джу4
在,дза4й
北京,бэ3йдзи1нъ
我,во3
的,дэ
父母,фу4му3
最近,дзуй4дзи4н
搬到,ба1н
了,да4олэ
西安,сь1я1н
现在,сье4ндза4й
找,джа3о
房子,фа2нъдзы
非常,фэ1йчха2нъ
困难,кху4нна2н
